Fecha,Flaming,Adobadas,Crema,Guacamole,Chipotle,Jalapeno,Habanero
28/09/2023,15,30,25,10,3,10,30
29/09/2023,20,22,5,13,34,7,100
30/09/2023,15,32,3,24,32,3,23
01/10/2023,16,12,8,4,11,8,43
02/10/2023,23,23,56,35,16,9,23
03/10/2023,4,32,43,65,34,6,12
04/10/2023,12,1,11,23,53,39,22
05/10/2023,32,6,34,23,22,12,11
06/10/2023,14,8,2,8,32,34,44
07/10/2023,35,12,7,6,16,5,23
08/10/2023,12,31,5,9,34,4,54
09/10/2023,11,19,3,10,23,10,34
10/10/2023,45,8,0,56,32,45,65
11/10/2023,2,5,4,12,15,65,43
12/10/2023,5,7,3,21,24,4,44
13/10/2023,12,3,23,4,3,5,6
14/10/2023,1,2,3,4,5,6,7
15/10/2023,3,4,5,6,7,8,9
16/10/2023,3,4,3,6,5,7,8
